,Multiplier,Radii_Km,Median_Duration,MAD_Duration,Median_Total_Coverage,MAD_Total_Coverage,Median_Coverage_Above_Existing,MAD_Coverage_Above_Existing,Median_Coverage_Above_Initial,MAD_Coverage_Above_Initial,Median_Percent_Coverage,MAD_Percent_Coverage,Median_Percent_Coverage_Above_Existing,MAD_Percent_Coverage_Above_Existing,Median_Percent_Coverage_Above_Initial,MAD_Percent_Coverage_Above_Initial,Algorithm
0,0.1,1206.5,6.568871200084686,0.004927102724710863,8164.31223615948,0.08596684960775747,103.95349544459229,0.08596684960926382,2.280951098582591,2.2809510985816814,0.005504302843843615,5.795804485213968e-08,7.008447301524499e-05,5.7958044853400064e-08,1.53779586760419e-06,1.5377958676035767e-06,First-Choice Hill Climbing
1,0.2,2413.0,6.512559449672699,0.0037693818410238222,32706.78578253495,37.74397989861245,457.5458486033394,19.481209890564287,36.700488471811695,36.700488471811695,0.02205060864752973,2.544663774295408e-05,0.00030847312581970754,1.3134049250006295e-05,2.4743125596194662e-05,2.4743125596194662e-05,First-Choice Hill Climbing
2,0.3,3619.5,6.899791161219279,0.00407592455546002,73559.02661429955,6.038165843099705,973.0075277451997,6.038165843091178,67.00322976981988,0.9532305089669535,0.04959280680008869,4.0708748588191845e-06,0.0006559925621571402,4.070874858818534e-06,4.517294996819161e-05,6.426590813255587e-07,First-Choice Hill Climbing
3,0.4,4826.0,6.501286327838898,0.024782915910084746,130804.10765337932,101.60133187595056,1788.8991219430886,254.82644126690252,107.59832756554533,97.30901387796621,0.08818690428743398,6.849866636729485e-05,0.0012060590334419378,0.00017180160003431788,7.25417846942177e-05,6.560482577428516e-05,First-Choice Hill Climbing
4,0.5,6032.5,6.470128345489502,0.0490201354026798,204336.98287514763,114.83049187625875,2722.017464515258,297.56273118735,190.6504982126935,38.49148200347554,0.13776208006360827,7.741764213706204e-05,0.0018351586805517965,0.00020061400643673374,0.00012853478028983017,2.5950596661054393e-05,First-Choice Hill Climbing
5,1.0,12065.0,6.524101098378499,0.011679887771606445,816888.6355433563,156.1819906643359,10488.98050337289,156.1819906643177,107.00628065876663,107.00628065876663,0.5507386672217658,0.00010529643532786181,0.007071572417089984,0.00010529643532780283,7.214263221469374e-05,7.214263221469374e-05,First-Choice Hill Climbing
6,2.0,24130.0,6.618319578965505,0.05061953067779523,3263184.2311844314,293.71892106859013,51478.85514129233,293.7189210682991,0.0,0.0,2.200008246149988,0.00019802254565481903,0.034706561992700086,0.000198022545655048,0.0,0.0,First-Choice Hill Climbing
7,3.0,36195.0,6.7699180245399475,0.022457170486450018,7335324.980324183,4443.078879328445,112299.39081129376,4443.078879328052,0.0,0.0,4.945407400134962,0.0029954821672060206,0.07571119750501852,0.002995482167204702,0.0,0.0,First-Choice Hill Climbing
8,4.0,48260.0,6.985043255488078,0.00546145836512224,13030828.604474176,2889.07062109001,167024.5018484814,15744.502386364184,1360.4276293572038,1360.4276293572038,8.785262600268446,0.0019477843541189088,0.112606354818765,0.010614796048140043,0.0009171875661429579,0.0009171875661429579,First-Choice Hill Climbing
9,5.0,60325.0,7.096503647168477,0.004885836442311664,20340980.587056007,14021.773614961654,290515.3214307938,16403.67657343927,0.0,0.0,13.713698601092194,0.009453348445290999,0.19586270878389073,0.011059205111335374,0.0,0.0,First-Choice Hill Climbing
10,10.0,120650.0,8.33983439207077,0.005358429749806604,81355723.4725423,90125.16857075691,989388.4705329955,70503.68995010946,79955.64181192219,55189.85989949107,54.84926679917365,0.06076154455102767,0.667036440363116,0.04753292743693582,0.053905344856547195,0.03720848664394042,First-Choice Hill Climbing
