,Multiplier,Num_Iterations,Median_Duration,MAD_Duration,Median_Total_Coverage,MAD_Total_Coverage,Median_Coverage_Above_Existing,MAD_Coverage_Above_Existing,Median_Coverage_Above_Initial,MAD_Coverage_Above_Initial,Median_Percent_Coverage,MAD_Percent_Coverage,Median_Percent_Coverage_Above_Existing,MAD_Percent_Coverage_Above_Existing,Median_Percent_Coverage_Above_Initial,MAD_Percent_Coverage_Above_Initial,Algorithm
0,0.1,10.0,0.33662837743759155,0.0006014108657836914,817037.3662652612,18.4424798078835,10956.540964622618,18.442479807787095,187.88948672101833,21.699114475981332,0.5508389400814835,1.243374715687029e-05,0.007386797300960464,1.2433747156793962e-05,0.0001266733322013796,1.462933974891883e-05,First-Choice Hill Climbing
1,0.2,20.0,0.6807008783022562,0.00040732622146610886,817219.8108722605,858.0515287348535,10992.218153451044,1477.7282427715672,263.29548427660484,263.29548427660484,0.5509619425267724,0.0005784903042858058,0.007410850527521165,0.0009962705410862327,0.00017751134951161956,0.00017751134951161956,First-Choice Hill Climbing
2,0.3,30.0,1.0177376945813497,0.002164955933888768,816252.277840665,37.306626571691595,10609.579310419644,352.9874787196586,180.84793121553957,180.84793121553957,0.5503096408186461,2.5151778226151222e-05,0.00715287900328981,0.00023798085212279642,0.00012192598142978276,0.00012192598142978276,First-Choice Hill Climbing
3,0.4,40.0,1.3389126181602478,0.004946466286977147,817286.4047115217,276.53375299391337,10730.567680873972,830.3641480832812,460.48587524413597,460.48587524413597,0.551006839469494,0.00018643646629312727,0.007234448229490428,0.000559823731566469,0.00031045526424506556,0.00031045526424506556,First-Choice Hill Climbing
4,0.5,50.0,1.604502507050832,0.0016624728838603442,816577.7571729468,35.80055768811144,10478.48939250028,867.0585878659513,217.017204216565,217.017204216565,0.5505290759360779,2.4136400690433213e-05,0.007064499408397907,0.0005845627791930957,0.00014631096653086107,0.00014631096653086107,First-Choice Hill Climbing
5,0.6,60.0,1.890824317932129,0.0008714636166891054,817170.4670999976,399.46490205207374,10671.734417498921,540.5036180415991,389.9242272673873,389.9242272671545,0.5509286754176594,0.00026931549563269375,0.007194783394346859,0.00036440247700443486,0.0002628832620493962,0.0002628832620492392,First-Choice Hill Climbing
6,0.7,70.0,2.2604937076568605,0.004273017247517608,816891.2224157734,29.366153010516427,12966.92312642097,564.4470101134575,0.0,0.0,0.5507404112669211,1.9798385320513034e-05,0.008742178125494498,0.0003805448876889137,0.0,0.0,First-Choice Hill Climbing
7,0.8,80.0,2.560905909538269,0.010235317548116019,816874.5159127713,355.682317095343,10705.062052978297,1756.0909214583917,264.05325437290594,192.5159958283184,0.5507291478990678,0.00023979768691617664,0.007217252574045209,0.0011839400519520465,0.00017802223101337993,0.00012979248131030194,First-Choice Hill Climbing
8,0.9,90.0,2.9889347155888877,0.05373340050379438,816773.536072528,486.14504785160534,10778.043385680148,103.775093598686,271.2540138880722,271.2540138880722,0.5506610682365384,0.00032775443809685,0.007266455905020124,6.996419616162129e-05,0.00018287691563722625,0.00018287691563722625,First-Choice Hill Climbing
9,1.0,100.0,3.3871918320655823,0.0036226352055868105,817354.0132127848,639.7216868817341,11971.681685204516,1382.7575614596353,977.8184845698997,977.8184845698997,0.5510524204878341,0.00043129436975430924,0.008071195667114677,0.0009322421972274807,0.0006592360641896227,0.0006592360641896227,First-Choice Hill Climbing
