,Multiplier,Perturb_Dist_Km,Median_Duration,MAD_Duration,Median_Total_Coverage,MAD_Total_Coverage,Median_Coverage_Above_Existing,MAD_Coverage_Above_Existing,Median_Coverage_Above_Initial,MAD_Coverage_Above_Initial,Median_Percent_Coverage,MAD_Percent_Coverage,Median_Percent_Coverage_Above_Existing,MAD_Percent_Coverage_Above_Existing,Median_Percent_Coverage_Above_Initial,MAD_Percent_Coverage_Above_Initial,Algorithm
0,0.1,10.0,6.53868583838145,0.00314689079920516,816858.9342782034,423.6698659468675,13075.412133017535,423.6698659468457,0.0,0.0,0.5507186429069775,0.00028563425559036126,0.008815320397649458,0.00028563425559028494,0.0,0.0,First-Choice Hill Climbing
1,0.2,20.0,6.0972364465395605,0.008115752538045307,816773.8201957706,294.7968038986437,10217.983165122865,935.9733370657068,94.01245370600373,94.01245370600373,0.5506612597897675,0.0001987492441639649,0.006888868549763943,0.0006310244576579341,6.338231578145688e-05,6.338231578145688e-05,First-Choice Hill Climbing
2,0.3,30.0,6.049345008532206,0.0034123182296745824,816834.8493838862,39.33246824750677,13474.997104647278,222.0804013900506,0.0,0.0,0.5507024050968045,2.6517581710239213e-05,0.009084716843066812,0.00014972452664404647,0.0,0.0,First-Choice Hill Climbing
3,0.4,40.0,6.0721688866615295,0.02635275522867797,817431.2535105298,82.24552494776435,10617.952582434338,199.10535275358416,456.56925020110793,1.1641532182693481e-10,0.5511044951731522,5.544916262001376e-05,0.007158524184859254,0.00013423496403434498,0.00030781471232360337,7.849623728795052e-17,First-Choice Hill Climbing
4,0.5,50.0,6.332411189874013,0.2523749073346453,816624.2382685193,180.53642028290778,10918.925034095613,903.3738855788433,162.92744305497035,4.305789716774598,0.5505604130553775,0.00012171596367649418,0.007361436992904557,0.0006090462127872672,0.00010984415615264374,2.9029230996417357e-06,First-Choice Hill Climbing
5,1.0,100.0,6.390086682637532,0.006226591269174797,816441.9774024612,114.31305777549278,12967.812065446751,114.31305777545458,0.0,0.0,0.5504375344865102,7.706879291247137e-05,0.008742777439860006,7.706879291253903e-05,0.0,0.0,First-Choice Hill Climbing
6,2.0,200.0,6.677702605724335,0.0010810414950048752,816967.3391617725,42.46435211470816,10411.502131124718,42.46435211455537,515.1741748988861,58.60492469754536,0.5507917284641752,2.862906848077884e-05,0.007019337224171566,2.8629068480613175e-05,0.00034732560366954285,3.951089134578248e-05,First-Choice Hill Climbing
7,3.0,300.0,6.56162082751592,0.12944196065266933,817056.9297852764,224.64844764152076,10501.092754628604,154.52338679844797,190.89659825945273,140.37178008025512,0.5508521296234486,0.00015145587937481775,0.007079738383444981,0.0001041782201356813,0.00012870069863641758,9.463733942818866e-05,First-Choice Hill Climbing
8,4.0,400.0,6.100684555371602,0.01779992580413836,817616.2875705279,876.4362554978579,11245.418020305779,1435.226754385356,1271.4186880324269,1066.9653380733216,0.5512292434034005,0.0005908851148807015,0.007581555506321063,0.0009676164356790832,0.0008571785715467462,0.000719338037885011,First-Choice Hill Climbing
9,5.0,500.0,6.108988344669342,0.008336909612020271,816953.2682780622,202.79553050897084,11282.800801561261,2107.819666752983,405.5213363637449,244.75625709898304,0.5507822420061637,0.00013672284731536255,0.007606758627321752,0.001421072277788777,0.0002733986869218781,0.00016501237618420447,First-Choice Hill Climbing
10,10.0,1000.0,6.065721980730692,0.02256535291671824,816908.1700471119,148.75973816448823,13132.638094975695,415.67967289723856,0.0,0.0,0.5507518372012404,0.00010029242220821466,0.008853901605231513,0.00028024734227123996,0.0,0.0,First-Choice Hill Climbing
0,0.1,10.0,8.225327968597412,0.03470346530278512,817428.981556335,63.95969301275909,10812.805999246697,3.6301315628370503,851.6351849734783,339.4343472563196,0.5511029634429129,4.312102599179912e-05,0.0072898925335050475,2.4474007003739626e-06,0.0005741644654163655,0.00022884345782689456,Random Restart Hill Climbing with Simulated Annealing
1,0.2,20.0,8.225404218832653,0.14932010968526122,818674.430102091,1578.484434594051,11517.073266055857,559.411261226016,1702.0894641859923,1702.0894641859923,0.5519426331877696,0.0010641994219449114,0.007764702928721773,0.0003771498329531008,0.0011475327752288825,0.0011475327752288825,Random Restart Hill Climbing with Simulated Annealing
