Satellite, Latitude, Longitude, Altitude
STARLINK-1007, 3.513827, 173.683520, 240.25
STARLINK-1008, -52.110557, -31.684586, 565.99
STARLINK-1009, -16.191867, 29.734356, 551.95
STARLINK-1010, -43.811024, -91.874093, 562.96
STARLINK-1011, -48.743403, -59.222455, 565.15
STARLINK-1012, 30.859046, 68.823137, 548.52
STARLINK-1013, -0.265184, 42.078357, 547.58
STARLINK-1014, -5.628654, -139.611326, 524.43
STARLINK-1015, 31.398165, -164.537373, 548.51
STARLINK-1017, -30.900868, -111.128485, 557.55
STARLINK-1019, 43.829757, 88.166307, 550.66
STARLINK-1020, 23.364632, 81.127217, 547.44
STARLINK-1021, 51.991198, 115.414375, 552.36
STARLINK-1027, 53.205946, 152.020157, 552.79
STARLINK-1028, 52.131487, 148.148028, 552.54
STARLINK-1029, 15.731668, -25.559654, 547.10
STARLINK-1030, 37.739490, 97.648476, 549.55
STARLINK-1031, -23.878108, 42.939344, 554.34
STARLINK-1032, -53.204742, -28.204733, 566.64
STARLINK-1035, -48.970237, 3.023058, 565.14
STARLINK-1036, -37.821280, -82.231748, 560.72
STARLINK-1038, -31.297605, 55.225691, 557.48
STARLINK-1039, -52.011363, -24.434547, 566.42
STARLINK-1042, -51.488709, -43.852060, 514.94
STARLINK-1043, 15.673294, 94.390881, 547.11
STARLINK-1046, -44.124765, 35.768176, 562.93
STARLINK-1047, -7.878895, -111.782986, 549.71
STARLINK-1048, 16.099569, -150.190192, 547.33
STARLINK-1052, 29.977333, 50.726701, 446.82
STARLINK-1053, 30.806573, 108.846789, 548.69
STARLINK-1054, 31.172835, -124.628648, 548.70
STARLINK-1055, -38.886055, -139.014595, 414.05
STARLINK-1056, 16.037875, -110.139810, 547.29
STARLINK-1057, 23.726593, -136.917305, 547.81
STARLINK-1058, -49.868313, 19.961098, 547.78
STARLINK-1059, -26.875413, -65.700074, 375.61
STARLINK-1060, 48.755689, 120.815314, 551.93
STARLINK-1061, 39.661317, -136.141930, 536.60
STARLINK-1062, 0.378550, -97.428914, 548.28
STARLINK-1063, -0.265699, 82.075712, 548.48
STARLINK-1067, 43.799923, 128.104531, 550.87
STARLINK-1068, 48.890161, -176.714385, 551.75
STARLINK-1073, 15.665797, -145.612714, 547.50
STARLINK-1084, -30.960655, 48.939788, 557.38
STARLINK-1098, -15.858876, 34.543761, 551.93
STARLINK-1102, 23.164651, -82.147034, 441.43
STARLINK-1103, -27.595303, 179.217709, 556.19
STARLINK-1104, 44.072694, -24.120838, 551.02
STARLINK-1106, 36.548873, -77.806145, 442.17
STARLINK-1112, -31.351614, 175.168006, 557.49
STARLINK-1114, -52.007938, 95.545894, 565.91
STARLINK-1123, 0.122360, 22.189135, 548.20
STARLINK-1130 (DARKSAT), -43.863900, 68.240971, 563.11
STARLINK-1144, 36.490859, -11.378270, 544.40
STARLINK-1071, 23.440544, -158.799612, 547.45
STARLINK-1079, 49.809383, -131.315728, 496.03
STARLINK-1091, -37.765925, 37.695138, 560.20
STARLINK-1094, 48.904193, -56.767180, 551.86
STARLINK-1096, -52.779162, 9.602929, 463.62
STARLINK-1108, -38.086006, 130.142604, 309.22
STARLINK-1109, -48.733646, 60.756274, 564.91
STARLINK-1122, -8.297599, 176.013394, 549.78
STARLINK-1117, 53.202887, -88.117906, 552.77
STARLINK-1066, -52.124433, 88.181206, 566.26
STARLINK-1076, 30.820871, -171.218372, 548.38
STARLINK-1080, -0.286893, 162.061825, 548.13
STARLINK-1088, -19.420021, -72.379166, 451.26
STARLINK-1089, -39.673559, -0.651452, 305.13
STARLINK-1090, -16.242893, 149.688944, 552.01
STARLINK-1092, 15.671452, 174.390939, 547.01
STARLINK-1093, 31.160688, -44.614588, 548.45
STARLINK-1107, 43.821516, -153.480892, 534.46
STARLINK-1115, -38.823011, 118.527403, 521.37
STARLINK-1132, -15.892357, -45.428722, 552.02
STARLINK-1131, -24.198052, 123.176193, 554.71
STARLINK-1134, -23.597307, -18.650779, 554.50
STARLINK-1135, 49.384129, 91.292571, 387.08
STARLINK-1148, 14.642676, 145.366581, 507.31
STARLINK-1156, 38.005847, -73.492342, 549.76
STARLINK-1159, 37.714444, 177.618510, 549.72
STARLINK-1162, 53.201809, -128.082765, 552.95
STARLINK-1166, -8.266221, 136.038687, 549.70
STARLINK-1169, -38.100493, 106.364722, 560.44
STARLINK-1171, 23.429642, 161.190165, 547.55
STARLINK-1133, -31.299767, 95.224284, 557.55
STARLINK-1139, -39.540700, -93.337112, 372.01
STARLINK-1145, 52.012225, -164.424993, 552.64
STARLINK-1150, -0.289467, 122.060067, 548.20
STARLINK-1161, -51.526903, 49.502487, 539.32
STARLINK-1167, -0.044697, -57.692280, 548.04
STARLINK-1168, 16.041233, -70.145259, 547.20
STARLINK-1170, 15.626352, 134.352084, 547.07
STARLINK-1172, 52.110246, -131.717334, 552.70
STARLINK-1174, -52.109125, 48.288663, 566.42
STARLINK-1177, 31.111879, -84.559106, 548.54
STARLINK-1153, -30.990668, -31.027656, 557.57
STARLINK-1151, -44.136115, 75.817740, 562.99
STARLINK-1190, -37.833268, -2.208391, 560.15
STARLINK-1173, -23.913708, 82.906355, 554.80
STARLINK-1179, -8.296557, 96.014719, 549.70
STARLINK-1185, 48.739891, 160.769519, 551.89
STARLINK-1183, -38.111285, 66.351214, 560.42
STARLINK-1136, -53.202636, 11.883079, 566.83
STARLINK-1176, 27.260373, 124.933619, 548.07
STARLINK-1137, 8.150045, -83.874563, 547.31
STARLINK-1142, -44.298100, -31.641737, 548.75
STARLINK-1146, 46.583077, -129.967604, 551.38
STARLINK-1147, 24.039806, -96.637210, 547.70
STARLINK-1152, 37.989868, -113.469989, 549.66
STARLINK-1184, -37.822293, -42.228874, 560.31
STARLINK-1186, 37.739472, 137.649266, 549.66
STARLINK-1193, -48.785353, -19.077065, 564.94
